Unnamed: 0,rating,review,Processed_Review,Sentiment
43,5,Pizza hut vari bad bro😡😡😡😡😡<br/>All pablik pizzz not send pizz hat oder <br/>Vari vari bad test,pizza hut vari bad bro br pablik pizzz send pizz hat oder br vari vari bad test,NEGATIVE
44,1,I placed a complete different order and received complete different items not fair !!!!!! Worst placements,placed complete different order received complete different item fair worst placement,NEGATIVE
45,1,so bad,bad,NEGATIVE
46,1,their was a hair in my order horrible didn't expect this from pizza hut...,hair order horrible expect pizza hut,NEGATIVE
47,1,"Worst pizza ever<br/>No cheese , no taste <br/>Just poured some liquid cheese which was pathetic n too salty",worst pizza ever br cheese taste br poured liquid cheese pathetic n salty,NEGATIVE
48,1,only cool pizza no socsh,cool pizza socsh,POSITIVE
49,2,1 corn pizza is missing in only vetted 3 pizza out of 4,corn pizza missing vetted pizza,NEGATIVE
50,1,quality not much good and quantity  are less ,quality much good quantity less,POSITIVE
51,2,Was not that good,good,POSITIVE
52,1,nice 👍,nice,POSITIVE
53,5,There is no ketchup,ketchup,NEUTRAL
54,1,really horrible horrible....I couldn't even eat ,really horrible horrible even eat,NEGATIVE
55,3,I can't receive the dip....very bad🤷,receive dip bad,NEGATIVE
56,2,only 2 chili flakes send by you and not provided origon masala with Pizza...and if possible please provide 3-4 Tomato sauce pauch with Pizza,chili flake send provided origon masala pizza possible please provide tomato sauce pauch pizza,POSITIVE
57,1,there were no ketchup how to eat...dry pizza can't consume ,ketchup eat dry pizza consume,NEUTRAL
58,3,good ,good,POSITIVE
59,1,The phone number was not working to edit the instructions,phone number working edit instruction,POSITIVE
60,2,"do complete care of the order and send to customer very properly,outlet was not even having the oragano,<br/>very disappointing,<br/>moving out to eat something great as today's experience was hilarious and can't even trust more service of zomato",complete care order send customer properly outlet even oragano br disappointing br moving eat something great today experience hilarious even trust service zomato,POSITIVE
61,5,HAD GIVEN VERY VERY VERY VERY LESS CHILLI FLAKES AND NO OREGANO AT ALL VERY DISSAPOINTED,given less chilli flake oregano dissapointed,NEUTRAL
62,2,please provide catch up also I am giving 3 star because of taste.,please provide catch also giving star taste,POSITIVE
63,1,very bad experience,bad experience,NEGATIVE
64,3,the order we rcd was very very cold and very very late,order rcd cold late,NEUTRAL
65,3,There was no oregano sachets,oregano sachet,NEUTRAL
66,1,Soft Pizza bread. Enjoyed Weekending.,soft pizza bread enjoyed weekending,POSITIVE
67,5,good test,good test,POSITIVE
68,5,it was nice but was not as good ,nice good,POSITIVE
69,1,dont buy pizza from pizza hut horrible pizza restuarant.,dont buy pizza pizza hut horrible pizza restuarant,NEGATIVE
70,3,very nice dilivery boy and nice work ,nice dilivery boy nice work,POSITIVE
71,3,The pizza was horrible the bread was stale could not eat the pizza stop making such bad pizzas,pizza horrible bread stale could eat pizza stop making bad pizza,NEGATIVE
72,2,cheesy baked momos is very bad test and very tangy ,cheesy baked momos bad test tangy,NEGATIVE
73,5,Quality food,quality food,NEUTRAL
74,1,packing was so dumb it was unsealed and so unhealthy and unhygienic ,packing dumb unsealed unhealthy unhygienic,NEGATIVE
75,2,Pizza hut is wrost never order it and after ordering it i got another order and even after that there is not any issue…….,pizza hut wrost never order ordering got another order even issue,NEUTRAL
76,5,😊,,NEUTRAL
77,5,Pepsi not available why?,pepsi available,NEUTRAL
78,5,worst just wasted my money,worst wasted money,NEGATIVE
79,5,everytime good experience this time it's was not good it's Money waste ,everytime good experience time good money waste,POSITIVE
80,5,"what is this..<br/>that's not even half a plate, ",br even half plate,NEUTRAL
81,2,kitna oily tha ,kitna oily tha,NEUTRAL
82,1,Great,great,POSITIVE
83,1,Great,great,POSITIVE
84,5,not good not bad,good bad,NEGATIVE
85,2,nice ,nice,POSITIVE
86,1,total careless restaurant not following order given by the customer please do not give further order for this restaurant,total careless restaurant following order given customer please give order restaurant,NEGATIVE
87,4,paav kio nhi bheja,paav kio nhi bheja,NEUTRAL
88,1,no paper dish,paper dish,NEUTRAL
89,1,noodles is very spicy can't to eat it... and chilli paneer was small bad I don't have it,noodle spicy eat chilli paneer small bad,NEGATIVE
90,1,"Worst taste, rice is burnt .<br/>after several calls restro didn't attended calls, no reply.<br/>Wouldn't recommend someone for this restro.",worst taste rice burnt br several call restro attended call reply br recommend someone restro,NEGATIVE
91,1,excellent ,excellent,POSITIVE
92,1,nice man ,nice man,POSITIVE
93,5,Please send full order then say how’s taste,please send full order say taste,POSITIVE
94,4,thank you for corporation ,thank corporation,POSITIVE
95,1,not good,good,POSITIVE
96,1,very nice ,nice,POSITIVE
97,3,Mouth Watering Food ,mouth watering food,NEUTRAL
98,5,Excellent Food ,excellent food,POSITIVE
99,5,Delicious dish,delicious dish,POSITIVE
100,4,"very bad taste taste less saltless ,they don't even accept food instructions, no cutlery and very costly ",bad taste taste less saltless even accept food instruction cutlery costly,NEGATIVE
101,1,osum test,osum test,NEUTRAL
102,2,spoon nahi diya hai  order k sath spoon dena cahiye  ,spoon nahi diya hai order k sath spoon dena cahiye,NEUTRAL
103,1,taste is very bad,taste bad,NEGATIVE
104,5,🌺,,NEUTRAL
105,5,send cutlery in future for convenience outdoor eating ,send cutlery future convenience outdoor eating,NEUTRAL
106,1,not fresh,fresh,POSITIVE
107,4,awesome test ,awesome test,POSITIVE
108,1,Full tasty paw vaji...,full tasty paw vaji,NEUTRAL
109,5,Good taste Good service Thanks for accepting free soup ,good taste good service thanks accepting free soup,POSITIVE
110,4,Not yummy Not test full<br/>,yummy test full br,POSITIVE
111,1,machaow soup didn't send,machaow soup send,NEUTRAL
112,4,nice,nice,POSITIVE
113,1,exilent ,exilent,NEUTRAL
114,1,hhh,hhh,NEUTRAL
115,4,exlinat deliver boy,exlinat deliver boy,NEUTRAL
116,5,not satisfied with  customer service ,satisfied customer service,POSITIVE
117,5,bad food ,bad food,NEGATIVE
118,2,please follow customer's instructions properly. I have asked to not to make anything spicy but you guys made it too spicy.,please follow customer instruction properly asked make anything spicy guy made spicy,POSITIVE
119,5,perfect ,perfect,POSITIVE
120,5,supb,supb,NEUTRAL
121,1,Worthless,worthless,NEGATIVE
122,5,I have ordered grill cheese sandwich and there is no cheese ,ordered grill cheese sandwich cheese,NEUTRAL
123,5,good fast best,good fast best,POSITIVE
124,1,I have received wrong parcel total fraud with me,received wrong parcel total fraud,NEGATIVE
125,1,Horrible… don’t ruin your name by giving this types of food,horrible ruin name giving type food,NEGATIVE
126,5,bakavash,bakavash,NEUTRAL
127,1,Want to return it,want return,POSITIVE
128,1,i never expected they will send maked dosa<br/>,never expected send maked dosa br,NEUTRAL
129,1,delivery boy was very kind ,delivery boy kind,POSITIVE
130,1,very smelly pav bhaji,smelly pav bhaji,NEUTRAL
131,2,Finger licking delicious as alwaysss !,finger licking delicious alwaysss,POSITIVE
132,5,good ,good,POSITIVE
133,1,order delivery before time.tks,order delivery time tks,NEUTRAL
134,4,bhai ishse ghatiya kuchh nahi khaya aaj tak,bhai ishse ghatiya kuchh nahi khaya aaj tak,NEUTRAL
135,5,ok,ok,POSITIVE
136,2,not taeste,taeste,NEUTRAL
137,1,Don’t send cutlery,send cutlery,NEUTRAL
138,4,very good savis,good savis,POSITIVE
139,3,Please follow the customer's instructions properly.,please follow customer instruction properly,POSITIVE
140,5,best Peking on food ,best peking food,POSITIVE
141,1,masala pav is not came in order so please next time take care for that,masala pav came order please next time take care,POSITIVE
142,1,the mysore masala sabji was just so bad in taste it smells and tastes like shit,mysore masala sabji bad taste smell taste like shit,NEGATIVE
143,1,Delicious Food ,delicious food,POSITIVE
144,1,good service ,good service,POSITIVE
145,1,worst pulao ever,worst pulao ever,NEGATIVE
146,1,Spoon Not available,spoon available,NEUTRAL
147,3,delivery boy good anf helpfull and very good beheviar.. i like her talking way and service.,delivery boy good anf helpfull good beheviar like talking way service,POSITIVE
148,1,🥄 spoon nhi tha yahi hai buss<br/>wrna or sab msttt,spoon nhi tha yahi hai bus br wrna sab msttt,NEUTRAL
149,5,masala pav aaya hai nay tu kisa star do,masala pav aaya hai nay tu kisa star,NEUTRAL
150,1,food was spicy,food spicy,NEUTRAL
151,1,late dilivery and food boht bakvas tha <br/>never order from this restaurant,late dilivery food boht bakvas tha br never order restaurant,NEUTRAL
152,4,very bad food deleverd. ,bad food deleverd,NEGATIVE
153,1,"After Ravi has gone, the taste is going bad to… we are Ravi’s school friends… so we know the taste which was before…. Now it is really going worst…",ravi gone taste going bad ravi school friend know taste really going worst,NEGATIVE
154,1,Thanks. great food. love that you are take in account customer Notes for food. will order in future. Cheers!,thanks great food love take account customer note food order future cheer,POSITIVE
155,1,good,good,POSITIVE
156,1,everything was good just a suggestion to please keep spoons and tissues as well ,everything good suggestion please keep spoon tissue well,POSITIVE
157,4,so late delivery,late delivery,NEUTRAL
158,5,good ,good,POSITIVE
159,5,good,good,POSITIVE
160,5,plz read instruction ,plz read instruction,POSITIVE
161,1,bhaji need to supply in containers...stop in plastic bag,bhaji need supply container stop plastic bag,NEGATIVE
162,1,It is like rubber. Hard to chew... this is first time I am having a sandwich like this,like rubber hard chew first time sandwich like,POSITIVE
163,1,They don't cancel order,cancel order,NEGATIVE
164,5,yummy....too good as usevl,yummy good usevl,POSITIVE
165,1,I have ordered cold coffee and they delivered thik shake,ordered cold coffee delivered thik shake,NEGATIVE
166,5,6 bola tha fir bi only 1 pc ,bola tha fir bi pc,NEUTRAL
167,4,superb,superb,POSITIVE
168,1,it's peanuts shake. other flavours are far much better.,peanut shake flavour far much better,POSITIVE
169,1,size of both item is very less ,size item less,NEUTRAL
170,1,your delivery is best but within 1 km range 70 rupees item turns 105 rupees is too much,delivery best within km range rupee item turn rupee much,POSITIVE
171,1,sugar  ,sugar,NEUTRAL
172,5,very nice,nice,POSITIVE
173,5,totally stale food.,totally stale food,NEUTRAL
174,5,tasty 😋,tasty,NEUTRAL
175,3,good 😊,good,POSITIVE
176,5,Taste is so good.. 👍👌,taste good,POSITIVE
177,5,जादा ठिक नही था,ज द ठ क नह थ,NEUTRAL
178,5,अच्छा नही था,अच छ नह थ,NEUTRAL
179,3,bad,bad,NEGATIVE
180,1,osm delivery ,osm delivery,NEUTRAL
181,3,good,good,POSITIVE
182,5,not good quality not good test,good quality good test,POSITIVE
183,3,very laziz ,laziz,NEUTRAL
184,5,Best service by the delivery boy,best service delivery boy,POSITIVE
185,1,pizza packing &amp; test is desi. coco excellent,pizza packing amp test desi coco excellent,POSITIVE
186,5,Good,good,POSITIVE
187,2,okk,okk,NEUTRAL
188,5,nice,nice,POSITIVE
189,5,super ,super,POSITIVE
190,1,No,,NEUTRAL
191,5,Good one ,good one,POSITIVE
192,5,❤️‍🩹<br/>,br,NEUTRAL
193,5,it was okay<br/>beverage is not what I ordered and tastes really sweet,okay br beverage ordered taste really sweet,POSITIVE
194,5,test good,test good,POSITIVE
195,1,not garam,garam,NEUTRAL
196,3,🙏🏻જય સ્વામિનારાયણ<br/><br/>બહુ સરસ કોલ્ડ કોકો ક્વોલિટી બહુ સારી આભાર ,જય સ વ મ ન ર યણ br br બહ સરસ ક લ ડ ક ક ક વ લ ટ બહ સ ર આભ ર,NEUTRAL
197,5,Ordered with so much craze but highly disappointed,ordered much craze highly disappointed,NEGATIVE
198,1,find,find,NEUTRAL
199,4,Very Fast Delivery <br/><br/>Thanks Zomato,fast delivery br br thanks zomato,POSITIVE
200,5,good 👍,good,POSITIVE
201,5,delivery is too slow by zomato,delivery slow zomato,NEUTRAL
202,4,I have ordered rajbhog thick shake with extra cashew. thay not extra cashew. and refuse to charge which I pay for extra cashew. also zomato not help me. very bad experience with mahalaxmi fast food and zomato. I tell my all friends not to use zomato and not order to mahalaxmi fast food. many other option we can. ,ordered rajbhog thick shake extra cashew thay extra cashew refuse charge pay extra cashew also zomato help bad experience mahalaxmi fast food zomato tell friend use zomato order mahalaxmi fast food many option,NEGATIVE
203,5,superb food best quality ,superb food best quality,POSITIVE
204,5,give me my money back for which i have paid and item was missed in parcel in last order to gangour udhna,give money back paid item missed parcel last order gangour udhna,NEGATIVE
205,1,not good ,good,POSITIVE
206,5,!,,NEUTRAL
207,1,Food was really nice - there were no chillies we enjoyed it 👍,food really nice chilli enjoyed,POSITIVE
208,5,good service ,good service,POSITIVE
209,5,late delivery,late delivery,NEUTRAL
210,5,I don’t usually write reviews but I was compelled to write one due to the awesome tasting food with great packaging and on time delivery! Really happy with the quantity of food too. Highly recommended!!!! ,usually write review compelled write one due awesome tasting food great packaging time delivery really happy quantity food highly recommended,POSITIVE
211,2,Bad behaviyar,bad behaviyar,NEGATIVE
212,5,sent less number of breads this time. I will never give order again to Gangor ,sent less number bread time never give order gangor,NEUTRAL
213,1,very cold that and loss item,cold loss item,NEGATIVE
214,5,price is very extra,price extra,NEUTRAL
215,3,FOOD WAS SO YUMM,food yumm,NEUTRAL
216,1,Too gud,gud,NEUTRAL
217,1,Hot and spice amazing,hot spice amazing,POSITIVE
218,5,good ,good,POSITIVE
219,5,when u prepair n send the parcel to coustomer pls check wat r u sending,u prepair n send parcel coustomer pls check wat r u sending,POSITIVE
220,5,Poor quality,poor quality,NEGATIVE
221,1,I puked after having it. ,puked,NEGATIVE
222,1,good 👍 👍 👍 👍 ,good,POSITIVE
223,5,not bad ,bad,NEGATIVE
224,1,fantastic,fantastic,POSITIVE
225,5,test is best,test best,POSITIVE
226,1,good,good,POSITIVE
227,5,not as expected,expected,NEUTRAL
228,5,nice,nice,POSITIVE
229,5,always good,always good,POSITIVE
230,3,Very bad delivery<br/>I have mentioned not to ring bell <br/>Delivery boy has ring the bell which is very bad,bad delivery br mentioned ring bell br delivery boy ring bell bad,NEGATIVE
231,3,exta kaju ka 40 piya lekin 10 rupey ke bheje 🤣makkhi chush,exta kaju ka piya lekin rupey ke bheje makkhi chush,NEUTRAL
232,5,not happy with my order and your service.. ,happy order service,POSITIVE
233,5,the deliver guy didn't knock and opened the door directly,deliver guy knock opened door directly,NEUTRAL
234,1,"taste and quality pehle jesa nhi,",taste quality pehle jesa nhi,NEUTRAL
235,1,good,good,POSITIVE
236,5,tast is better &amp; service is very satisfied,tast better amp service satisfied,POSITIVE
237,5,so small,small,NEUTRAL
238,2,thats diffrent from pic,thats diffrent pic,NEUTRAL
239,5,fast delivery,fast delivery,NEUTRAL
240,5,many wested bismillah is rong<br/>Amul /s chcho chips super many 120 rs<br/>party pack 750 ml,many wested bismillah rong br amul chcho chip super many r br party pack ml,POSITIVE
241,1,Too much sugar. jjnnnnnnndnxbdhdbdbhdhfbhfhdhdhhdhdhh,much sugar jjnnnnnnndnxbdhdbdbhdhfbhfhdhdhhdhdhh,NEUTRAL
242,1,superb ,superb,POSITIVE
243,5,"lots of cream instead of kaju anjeer, kaju and anjeer thick shake taste was ok and bcz of pieces thick cream it was not giving proper taste.<br/>try to add more kaju and anjeer instead of cream",lot cream instead kaju anjeer kaju anjeer thick shake taste ok bcz piece thick cream giving proper taste br try add kaju anjeer instead cream,POSITIVE
244,1,nice,nice,POSITIVE
245,1,good,good,POSITIVE
246,5,osm quality,osm quality,NEUTRAL
247,3,The delivery was made before time.thanks,delivery made time thanks,POSITIVE
248,5,the delivery executive was fabulous 😍🙏🏻,delivery executive fabulous,POSITIVE
249,3,good 👍,good,POSITIVE
250,5,wow,wow,POSITIVE
251,5,delivery service very bad,delivery service bad,NEGATIVE
252,3,supar sarve,supar sarve,NEUTRAL
253,1,this was my condition of parcel,condition parcel,NEUTRAL
254,5,nice 👍🏼,nice,POSITIVE
255,5,wow,wow,POSITIVE
256,1,quantity was less then appear in order ...so I dnt think so much to prefer bismillah,quantity less appear order dnt think much prefer bismillah,NEUTRAL
257,5,your thick shake was like a milk shake.doesn't like it.👎,thick shake like milk shake like,POSITIVE
258,1,nice,nice,POSITIVE
259,1,good job<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>,good job br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br br,POSITIVE
260,2,thx 😊,thx,POSITIVE
261,1,Received both items melted and Sitafal was spoilt. can't consumed... Zomato is not ready to take any responsibility for the same..I believe they already know service of Bismilah still they have allowed them to serve us worst desert... Totally waste of money.. Big failure of Zomato as well as restaurant..,received item melted sitafal spoilt consumed zomato ready take responsibility believe already know service bismilah still allowed serve u worst desert totally waste money big failure zomato well restaurant,NEGATIVE
262,5,Taste like hell. Too bad Very Bad Not Good Quality,taste like hell bad bad good quality,NEGATIVE
263,5,sab ghuli thi abhi kya kare ek dam bekar item nikla,sab ghuli thi abhi kya kare ek dam bekar item nikla,NEUTRAL
264,5,not quality very late delivery not certified please service,quality late delivery certified please service,POSITIVE
265,1,not good..seems to be plain vanilla ice cream with just a little amount of cookies..more of just whipped cream..,good seems plain vanilla ice cream little amount cooky whipped cream,POSITIVE
266,5,food quantity was lace cause of scheme schedule otherwise u can enjoy more quantity on live at shop,food quantity lace cause scheme schedule otherwise u enjoy quantity live shop,POSITIVE
267,1,I m buying from bismillah only every time but this time taste is very bad they are giving old or expiry thick shake,buying bismillah every time time taste bad giving old expiry thick shake,NEGATIVE
268,1,Bht bekar taste hai kabhi order ni Krna...Paisa barbaad ,bht bekar taste hai kabhi order ni krna paisa barbaad,NEUTRAL
269,1,want to talk with team ASAP,want talk team asap,POSITIVE
270,1,Great,great,POSITIVE
271,5,it's has test of garlic ,test garlic,NEUTRAL
272,5,The taste was soo good and spicy just how I like my food,taste soo good spicy like food,POSITIVE
273,4,teat saro hato.<br/>pan sandwich 🥪 pochi thai gayi hati tena karane maza nai aavi,teat saro hato br pan sandwich pochi thai gayi hati tena karane maza nai aavi,NEUTRAL
274,3,Sandwich ka taste bhi accha nhi tha or 2-3 baal nikle,sandwich ka taste bhi accha nhi tha baal nikle,NEUTRAL
275,3,good ,good,POSITIVE
276,1,Taste was very bad<br/>👎,taste bad br,NEGATIVE
277,1,Only kobiz and tometo but not testy<br/>And very hard bred<br/>West mony ,kobiz tometo testy br hard bred br west mony,NEGATIVE
278,1,very nice ,nice,POSITIVE
279,1,its awesome packing ,awesome packing,POSITIVE
280,1,Taste not good...half cooked ,taste good half cooked,POSITIVE
281,2,again like last time a new issu food item were totally tasteless,like last time new issu food item totally tasteless,POSITIVE
282,1,nice,nice,POSITIVE
283,1,બાદ,બ દ,NEUTRAL
284,1,very test full and quentatiy item,test full quentatiy item,NEUTRAL
285,1,better ,better,POSITIVE
286,5,very very very very nice food 😀🥑<br/>,nice food br,POSITIVE
287,5,yaami,yaami,NEUTRAL
288,4,The food was totaly bad in  taste… fried rice to pura jal gya hua tha bekar tha… <br/>Can’t recommend to any one,food totaly bad taste fried rice pura jal gya hua tha bekar tha br recommend one,NEGATIVE
289,5,Good,good,POSITIVE
290,2,osm test,osm test,NEUTRAL
291,4,food is very very bed chiter this shop <br/>don't oder in this shope vest money ,food bed chiter shop br oder shope vest money,NEUTRAL
292,5,Charging 95 for cheese sandwich and where is the cheese ? Fooling customer don’t order,charging cheese sandwich cheese fooling customer order,NEGATIVE
293,1,great,great,POSITIVE
294,3,very low chesse like only vegetable plain sandwich restaurant take rate full and not give item quality,low chesse like vegetable plain sandwich restaurant take rate full give item quality,POSITIVE
295,1,The restaurant service is not good and does not support.,restaurant service good support,POSITIVE
296,1,bed quality of chapati and all item,bed quality chapati item,NEUTRAL
297,1,Not good,good,POSITIVE
298,5,not good food very bad taste,good food bad taste,NEGATIVE
299,2,"it was good, only need to work on Roties ",good need work roties,POSITIVE
300,3,not good ,good,POSITIVE
301,1,okok,okok,NEUTRAL
302,5,good food,good food,POSITIVE
303,3,Good ,good,POSITIVE
304,1,bed food,bed food,NEUTRAL
305,5,yaha se khana mat order kariye<br/>total waste of money.<br/>itni gathiya quality ki chapati mene kabhi nahi dekh.<br/>kachha lot he aate ka.<br/>sabzi bhi puri ki puri dry he.<br/>kisi ko mar na he to yaha se sokh se khana mangvaye.,yaha se khana mat order kariye br total waste money br itni gathiya quality ki chapati mene kabhi nahi dekh br kachha lot aate ka br sabzi bhi puri ki puri dry br kisi ko mar na yaha se sokh se khana mangvaye,NEGATIVE
306,1,"Very bad service roti delivered only 4 pcs and out of 10,  rice full provide sabji less delivered, packing not properly.",bad service roti delivered pc rice full provide sabji less delivered packing properly,NEGATIVE
307,1,"chappatis are not properly baked. I swear, they are 99% raw. what the restaurant wants to do with customer, make them vomit?<br/><br/>even a dog deserves better food then this. shame on you, same on your morals",chappatis properly baked swear raw restaurant want customer make vomit br br even dog deserves better food shame moral,NEUTRAL
308,2,good ,good,POSITIVE
309,1,good food,good food,POSITIVE
310,1,all food are partially prepared... waste of money...,food partially prepared waste money,NEGATIVE
311,5,good food and good service,good food good service,POSITIVE
312,3,quality and quantity is enough one person ,quality quantity enough one person,NEUTRAL
313,5,good,good,POSITIVE
314,5,mils no good quality very much oily food quality is not good,mil good quality much oily food quality good,POSITIVE
315,1,Test Good But Service is Not Good ,test good service good,POSITIVE
316,4,clining not clear ,clining clear,POSITIVE
317,5,I don't like this type of food ,like type food,POSITIVE
318,4,don't like it ,like,POSITIVE
319,1,good ,good,POSITIVE
320,1,Packing,packing,NEUTRAL
321,4,rote very small saiz,rote small saiz,NEUTRAL
322,1,super ,super,POSITIVE
323,4,zometo n chandan bhojnalaya chit with me... ,zometo n chandan bhojnalaya chit,NEUTRAL
324,4,Bekar  khana  roti was uncooked not propely cooked ..Sara khana  waste huaa..and mera money bhi waste huaa..I want to full refund....<br/>Plastic was banned in india..why this restaurant using plastics for food packaging...<br/>Give me proper ans  for this...I'll wating for your reply,bekar khana roti uncooked propely cooked sara khana waste huaa mera money bhi waste huaa want full refund br plastic banned india restaurant using plastic food packaging br give proper an wating reply,NEGATIVE
325,1,very good ,good,POSITIVE
326,4,"rice not well cooked , its seem like kachcha ",rice well cooked seem like kachcha,POSITIVE
327,5,good ,good,POSITIVE
328,1,this food may hurt our health... please refund my money.,food may hurt health please refund money,NEGATIVE
329,5,or pehle to roti aati thi abhi q puri hi aati he.,pehle roti aati thi abhi q puri hi aati,NEUTRAL
330,5,worsttttt,worsttttt,NEUTRAL
331,1,good ,good,POSITIVE
332,1,good ,good,POSITIVE
333,2,best,best,POSITIVE
334,1,कतई बकचोद ,कतई बकच द,NEUTRAL
335,5,very good ,good,POSITIVE
336,5,good food,good food,POSITIVE
337,1,good ,good,POSITIVE
338,5,3class quality,class quality,NEUTRAL
339,1,not good,good,POSITIVE
340,5,bad experience 2nd time ,bad experience nd time,NEGATIVE
341,5,they didn't send cutlary and roti.,send cutlary roti,NEUTRAL
342,5,Make less qty and good quality food.,make less qty good quality food,POSITIVE
343,1,please improve your sabzi,please improve sabzi,POSITIVE
344,1,not good package. ordered dibba thali(box packing). but order delivered in single single box and loose plastic bags ,good package ordered dibba thali box packing order delivered single single box loose plastic bag,POSITIVE
345,2,delevary boy is not uniform and very bad behaviour ,delevary boy uniform bad behaviour,NEGATIVE
346,1,test bakwas tha,test bakwas tha,NEUTRAL
347,1,"Food was okay but when I receive it ,it was cold but overall it is very good ",food okay receive cold overall good,POSITIVE
348,5,good service for delivery person 🤠,good service delivery person,POSITIVE
349,5,burger was cold and sweet and they didn't gave ketchup. disappointing .,burger cold sweet gave ketchup disappointing,NEGATIVE
350,1,bargar thanda ho chuka tha ,bargar thanda ho chuka tha,NEUTRAL
351,5,excellent,excellent,POSITIVE
352,1,test of best ,test best,POSITIVE
353,2,/THANX FOR DELEVERY MY ORDER ,thanx delevery order,NEUTRAL
354,5,good ,good,POSITIVE
355,5,it's osume taste and delivery is in less time so thank you ,osume taste delivery less time thank,POSITIVE
